Order_ID,Date,Customer_ID,Menu_Item_ID,Menu_Item_Name,Category,Price,Quantity,Total_Price,Restaurant_Location,Payment_Method,Delivery_Status
1,2024-09-05 07:53:23,4,4,Limoncello,Beverage,12.58,3,37.74,Suburb,Online Payment,Picked Up
1,2024-02-13 05:40:50,4,4,Cappuccino,Beverage,8.28,1,8.28,Suburb,Credit Card,Picked Up
2,2024-01-10 17:07:01,1,2,Chicken Alfredo,Main Course,15.15,2,30.3,Downtown,Cash,Delivered
2,2024-10-14 23:45:05,1,2,Spaghetti Carbonara,Main Course,16.05,2,32.1,Downtown,Cash,Picked Up
2,2024-04-16 19:27:32,1,1,Stuffed Mushrooms,Appetizer,9.13,2,18.26,Downtown,Online Payment,Picked Up
2,2024-04-05 02:33:27,1,2,Margherita Pizza,Main Course,8.35,1,8.35,Downtown,Online Payment,Picked Up
3,2024-03-27 16:28:29,69,1,Bruschetta,Appetizer,5.38,3,16.14,Downtown,Cash,Delivered
3,2024-02-24 04:35:15,69,3,Gelato,Dessert,11.33,1,11.33,Downtown,Online Payment,Delivered
3,2024-10-13 00:24:33,69,2,Spaghetti Carbonara,Main Course,16.05,2,32.1,Downtown,Cash,Delivered
3,2024-02-09 19:19:27,69,2,Chicken Alfredo,Main Course,15.15,1,15.15,Downtown,Credit Card,Picked Up
4,2024-09-19 19:17:46,59,1,Stuffed Mushrooms,Appetizer,9.13,1,9.13,Suburb,Online Payment,Picked Up
4,2024-10-14 15:31:25,59,2,Chicken Alfredo,Main Course,15.15,3,45.45,Suburb,Online Payment,Delivered
4,2024-07-30 19:11:04,59,4,Cappuccino,Beverage,8.28,3,24.84,Suburb,Online Payment,Delivered
5,2024-02-03 18:19:43,69,1,Stuffed Mushrooms,Appetizer,9.13,2,18.26,Suburb,Credit Card,Delivered
5,2024-08-17 07:47:20,69,3,Panna Cotta,Dessert,6.3,3,18.9,Suburb,Credit Card,Delivered
6,2024-06-12 20:35:47,30,3,Tiramisu,Dessert,18.38,1,18.38,Downtown,Online Payment,Picked Up
6,2024-01-13 08:14:09,30,2,Spaghetti Carbonara,Main Course,16.05,1,16.05,Downtown,Online Payment,Picked Up
6,2024-01-12 13:43:48,30,1,Bruschetta,Appetizer,5.38,2,10.76,Downtown,Online Payment,Picked Up
7,2024-02-06 09:18:10,19,2,Margherita Pizza,Main Course,8.35,3,25.05,Uptown,Credit Card,Picked Up
7,2024-03-25 21:51:13,19,3,Gelato,Dessert,11.33,3,33.99,Uptown,Credit Card,Picked Up
8,2024-03-31 08:33:24,29,3,Panna Cotta,Dessert,6.3,3,18.9,Downtown,Cash,Picked Up
8,2024-07-15 06:15:09,29,1,Bruschetta,Appetizer,5.38,3,16.14,Downtown,Cash,Picked Up
8,2024-08-21 19:13:16,29,1,Garlic Bread,Appetizer,14.59,2,29.18,Downtown,Online Payment,Picked Up
8,2024-01-11 07:19:59,29,4,Cappuccino,Beverage,8.28,3,24.84,Downtown,Credit Card,Delivered
8,2024-08-05 23:10:59,29,1,Stuffed Mushrooms,Appetizer,9.13,3,27.39,Downtown,Online Payment,Delivered
9,2024-03-18 05:18:04,88,4,Cappuccino,Beverage,8.28,2,16.56,Suburb,Credit Card,Delivered
9,2024-10-05 01:47:11,88,2,Chicken Alfredo,Main Course,15.15,2,30.3,Suburb,Cash,Picked Up
9,2024-09-09 09:21:43,88,1,Bruschetta,Appetizer,5.38,3,16.14,Suburb,Cash,Delivered
10,2024-09-29 08:49:21,81,4,Espresso,Beverage,5.45,3,16.35,Uptown,Online Payment,Delivered
10,2024-07-30 15:13:21,81,2,Margherita Pizza,Main Course,8.35,3,25.05,Uptown,Credit Card,Picked Up
10,2024-06-11 22:12:29,81,1,Stuffed Mushrooms,Appetizer,9.13,1,9.13,Uptown,Cash,Picked Up
